ID_ALIAS,ID_LOCALIZACION_COMPRA,ID_AJENO,STOCK_MINIMO,STOCK_MAXIMO,STOCK_RECUENTOS,STOCK_TEORICO,FECHA_HORA_EJECUCION_STOCK_RECUENTOS,FECHA_HORA_EJECUCION_STOCK_TEORICO,FECHA_ALTA,USUARIO_ALTA,FECHA_MODIFICACION,USUARIO_MODIFICACION,FECHA_BAJA,USUARIO_BAJA,FECHA_HORA_ACTUALIZACION_STOCK_TEORICO,CAPACIDAD_MAXIMA,ID_ALIAS_ANALYTICS,STOCK_RECUENTOS_VALIDADO_BULTOS,STOCK_MINIMO_BULTOS,CAPACIDAD_MAXIMA_VALIDADA_BULTOS,RN,año_mes,necesita_reposicion,cantidad_a_reponer,log_cantidad_a_reponer
124,1332,,,100,450.0,405,2024-11-13 17:03:24.177,2025-06-05 09:15:17.745,2024-08-07 17:46:54.444,RAM,2025-01-17 11:47:45.280,BATCH_RAM,,,2025-06-05 00:00:00.000,300.0,,3,,2),(124,2024-11,0,0.0,0.0
210,16847,,,100,100.0,0,2024-11-12 15:19:04.493,2025-06-20 09:15:20.300,2024-09-10 17:09:25.391,RAM,2025-06-09 13:41:06.897,BATCH_RAM,,,2025-03-22 00:00:00.000,175.0,,4,,7),(220,2024-11,0,40.0,3.713572066704308
202,16825,,,100,40.0,34,2025-02-17 15:04:58.731,2025-06-20 09:15:20.300,2024-11-05 11:12:31.170,RAM,2025-02-19 09:48:49.722,BATCH_RAM,,,2025-03-21 00:00:00.000,800.0,,1,,20),(202,2025-02,1,600.0,6.398594934535208
213,16847,,,100,800.0,3949,2024-11-12 15:19:04.488,2025-06-20 09:15:20.300,2024-11-06 09:20:59.798,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-23 00:00:00.000,1600.0,,4,,8),(213,2024-11,0,480.0,6.175867270105761
209,16825,,,100,1.0,0,2025-02-17 15:04:58.721,2025-06-20 09:15:20.300,2024-11-05 11:15:21.708,RAM,2025-04-14 11:34:37.925,BATCH_RAM,,,2025-03-21 00:00:00.000,1.0,,,,NULL),(209,2025-02,0,0.0,0.0
226,16847,,,100,600.0,0,2024-11-12 15:19:04.468,2025-06-20 09:15:20.300,2024-11-06 09:20:09.404,RAM,2025-01-17 15:25:39.657,BATCH_RAM,,,2025-03-22 00:00:00.000,300.0,,,,NULL),(226,2024-11,0,0.0,0.0
218,16889,,,100,0.0,500,2025-06-03 12:36:09.624,2025-06-05 09:15:17.745,2024-11-06 09:22:32.173,RAM,2025-06-09 13:13:23.674,juanjdv,,,2025-06-09 13:13:23.674,500.0,,,,NULL),(218,2025-06,1,400.0,5.993961427306569
215,16847,,,100,2500.0,6578,2024-11-12 15:19:04.485,2025-06-20 09:15:20.300,2024-11-06 09:21:33.572,RAM,2025-06-09 13:13:23.674,BATCH_RAM,,,2025-04-23 00:00:00.000,3500.0,,5,,7),(215,2024-11,0,300.0,5.707110264748875
224,16818,,,100,0.0,0,2025-06-02 17:37:29.709,2025-06-20 09:15:20.300,2024-11-06 09:23:14.927,RAM,2025-06-04 10:25:28.219,BATCH_RAM,,,2025-03-22 00:00:00.000,50.0,,,,NULL),(211,2025-06,1,40.0,3.713572066704308
148,16796,,,100,0.0,0,2025-06-02 13:53:17.509,2025-06-20 09:15:20.300,2024-11-07 22:44:42.916,RAM,2025-06-02 14:53:45.394,BATCH_RAM,,,2025-04-02 00:00:00.000,300.0,,,,NULL),(148,2025-06,1,240.0,5.484796933490655
