ID_LOCALIZACION_COMPRA,accuracy,count,real_restock_rate,pred_restock_rate,avg_quantity_error,total_real_quantity,total_pred_quantity
3837,0.0,1,0.0,1.0,867.271,0.0,867.271
3841,1.0,1,1.0,1.0,2795.912,4800.0,2004.088
3845,1.0,1,0.0,0.0,0.0,0.0,0.0
3875,1.0,1,0.0,0.0,0.0,0.0,0.0
3881,1.0,1,1.0,1.0,26.823,120.0,93.177
3891,1.0,1,0.0,0.0,0.0,0.0,0.0
3902,1.0,1,0.0,0.0,0.0,0.0,0.0
3911,1.0,1,1.0,1.0,18.849,400.0,418.849
3925,0.5,2,0.0,0.5,969.021,0.0,1938.043
3952,1.0,1,0.0,0.0,0.0,0.0,0.0
3968,1.0,1,1.0,1.0,32.777,480.0,512.777
3981,0.0,1,0.0,1.0,140.748,0.0,140.748
4007,1.0,1,0.0,0.0,0.0,0.0,0.0
4070,0.5,2,0.0,0.5,58.763,0.0,117.527
4619,1.0,1,0.0,0.0,0.0,0.0,0.0
4822,0.5,2,0.5,1.0,71034.387,143400.0,2741.753
4823,1.0,1,0.0,0.0,0.0,0.0,0.0
4839,1.0,1,0.0,0.0,0.0,0.0,0.0
4847,1.0,1,0.0,0.0,0.0,0.0,0.0
4925,1.0,2,0.5,0.5,7.661,240.0,255.322
4928,1.0,1,0.0,0.0,0.0,0.0,0.0
4943,1.0,1,1.0,1.0,2427.312,4000.0,1572.688
4960,1.0,1,0.0,0.0,0.0,0.0,0.0
5021,0.0,1,1.0,0.0,160.0,160.0,0.0
5034,1.0,1,0.0,0.0,0.0,0.0,0.0
5038,1.0,1,0.0,0.0,0.0,0.0,0.0
5045,1.0,1,0.0,0.0,0.0,0.0,0.0
5074,0.0,1,1.0,0.0,320.0,320.0,0.0
5084,1.0,1,0.0,0.0,0.0,0.0,0.0
5117,1.0,1,0.0,0.0,0.0,0.0,0.0
5147,1.0,1,0.0,0.0,0.0,0.0,0.0
5148,1.0,1,0.0,0.0,0.0,0.0,0.0
5169,1.0,1,1.0,1.0,955.078,1200.0,244.922
5180,1.0,1,0.0,0.0,0.0,0.0,0.0
5197,1.0,1,0.0,0.0,0.0,0.0,0.0
5214,1.0,1,0.0,0.0,0.0,0.0,0.0
5215,1.0,1,0.0,0.0,0.0,0.0,0.0
5227,1.0,1,1.0,1.0,83.301,160.0,76.699
5228,1.0,1,0.0,0.0,0.0,0.0,0.0
5229,1.0,1,0.0,0.0,0.0,0.0,0.0
5243,1.0,2,0.0,0.0,0.0,0.0,0.0
5249,1.0,1,0.0,0.0,0.0,0.0,0.0
5262,1.0,1,0.0,0.0,0.0,0.0,0.0
5263,1.0,1,0.0,0.0,0.0,0.0,0.0
5268,1.0,1,0.0,0.0,0.0,0.0,0.0
5326,1.0,1,0.0,0.0,0.0,0.0,0.0
5334,1.0,1,0.0,0.0,0.0,0.0,0.0
5346,1.0,1,0.0,0.0,0.0,0.0,0.0
5362,1.0,1,0.0,0.0,0.0,0.0,0.0
5381,1.0,1,0.0,0.0,0.0,0.0,0.0
5382,1.0,1,0.0,0.0,0.0,0.0,0.0
5387,1.0,1,0.0,0.0,0.0,0.0,0.0
5405,1.0,1,0.0,0.0,0.0,0.0,0.0
5439,1.0,1,0.0,0.0,0.0,0.0,0.0
5468,0.0,1,0.0,1.0,461.353,0.0,461.353
5472,0.0,1,0.0,1.0,40.912,0.0,40.912
5479,1.0,1,1.0,1.0,488.58,600.0,1088.58
5482,0.0,1,0.0,1.0,2807.344,0.0,2807.344
5540,1.0,1,0.0,0.0,0.0,0.0,0.0
